순번,정류장명,위도,경도, 
196,대흥2리,36.81351137 ,126.87457069 , 
199,홍곳리,36.81314802 ,126.88260069 , 
200,가내리원안말,36.81279300 ,126.88658350 , 
201,가내리원안말,36.81290550 ,126.88653780 , 
202,죽산저수지,36.78542140 ,126.89421403 , 
203,신동1리입구,36.78659630 ,126.88598990 , 
204,선창3리 가장골,36.78898870 ,126.87800200 , 
205,신동2리 마을회관,36.79709304 ,126.88332237 , 
206,신동1리,36.79081138 ,126.88816570 , 
208,신동1리입구,36.78648820 ,126.88601320 , 
209,선창2리,36.78489070 ,126.89002700 , 
210,죽산저수지,36.78538650 ,126.89442750 , 
212,가내리입구,36.81053150 ,126.89155120 , 
214,가내2리 번개말,36.80675000 ,126.88804420 , 
216,가내1리 조원동,36.80272770 ,126.89475170 , 
219,해암1리,36.83008750 ,126.88817460 , 
220,산양2리,36.82564610 ,126.91744290 , 
221,산양2리,36.82552030 ,126.91752240 , 
222,도흥2리 작은섬말,36.82735472 ,126.90812235 , 
223,도흥2리 섬말,36.82861980 ,126.90447980 , 
224,도흥1리입구,36.82845270 ,126.89992840 , 
225,도흥1리입구,36.82831700 ,126.89983970 , 
226,창덕에버빌,36.81225550 ,126.89907160 , 
228,신곡1리,36.81230850 ,126.90153760 , 
229,신곡1리,36.81240136 ,126.90141732 , 
230,가덕2리 덕동,36.81118380 ,126.90826190 , 
232,가덕2리 금이,36.81145690 ,126.91335520 , 
233,가덕2리 금이,36.81153270 ,126.91318650 , 
236,궁화2리 신당,36.79147641 ,126.91743403 , 
237,궁화2리조내골,36.79190030 ,126.91090410 , 
238,죽산리난고개,36.78923305 ,126.90580066 , 
249,궁화1리 준말,36.80193490 ,126.91319250 , 
251,궁화리 진너머,36.80438370 ,126.91713660 , 
253,죽산리입구,36.78642330 ,126.90158100 , 
255,죽산1리 너드리,36.77968670 ,126.91206780 , 
257,죽산2리 성산,36.78040972 ,126.90756903 , 
261,도흥2리 작은섬말,36.82730805 ,126.90796900 , 
262,도흥2리 섬말,36.82878110 ,126.90427670 , 
263,금성초등학교,36.84365840 ,126.87938990 , 
264,금성초등학교,36.84355472 ,126.87922405 , 
265,현대자동차정문앞,36.84570805 ,126.87931236 , 
267,문방3리입구,36.85288080 ,126.88156560 , 
268,문방3리입구,36.85264972 ,126.88138902 , 
269,관암2리 은고개,36.85415971 ,126.88199568 , 
270,관암2리 은고개,36.85408750 ,126.88184640 , 
271,인주중학교,36.86174790 ,126.88356390 , 
272,인주중학교,36.86169806 ,126.88343567 , 
273,관암1리,36.86399320 ,126.88369170 , 
274,관암1리,36.86419370 ,126.88376750 , 
275,인주농협,36.86805474 ,126.88503905 , 
276,인주농협,36.86790010 ,126.88490460 , 
277,밀두2리 세원,36.86972640 ,126.87891900 , 
278,밀두2리 세원,36.86994638 ,126.88023068 , 
279,문방2리 K마트,36.86886638 ,126.87680400 , 
280,문방2리 K마트,36.86870139 ,126.87662236 , 
281,인주초등학교,36.87585472 ,126.89363903 , 
282,인주초등학교,36.87565635 ,126.89383072 , 
283,걸매리종점,36.88075600 ,126.88619970 , 
284,밀두1리,36.87032460 ,126.88589040 , 
285,걸매사거리,36.87327808 ,126.89083402 , 
286,걸매사거리,36.87317890 ,126.89050150 , 
287,밀두1리,36.87019293 ,126.88586030 , 
288,관암리 감나무골,36.86425638 ,126.89626233 , 
289,관암리 감나무골,36.86418580 ,126.89610840 , 
290,관암2리 아산말,36.85787760 ,126.88297240 , 
291,관암2리 아산말,36.85775230 ,126.88279280 , 
292,관암리마을회관,36.86193840 ,126.89077700 , 
293,관암리마을회관,36.86207641 ,126.89082238 , 
294,관암1리 소애,36.86329130 ,126.89445730 , 
295,관암1리 소애,36.86343470 ,126.89429910 , 
296,걸매리종점,36.88121190 ,126.88615900 , 
297,공세리입구,36.88091974 ,126.91914899 , 
298,인주파출소,36.88104474 ,126.91357902 , 
299,인주파출소,36.88101473 ,126.91368234 , 
300,공세리입구,36.88081800 ,126.91935590 , 
301,공세4리,36.88021638 ,126.90900571 , 
302,공세4리,36.88016138 ,126.90882565 , 
303,냉정저수지앞,36.86177490 ,126.90063720 , 
304,냉정저수지앞,36.86180302 ,126.90090901 , 
305,냉정리 불당골,36.85744670 ,126.90867160 , 
306,냉정리 불당골,36.85752670 ,126.90845780 , 
307,냉정리 차나물,36.85742973 ,126.90259899 , 
308,냉정리 차나물,36.85737969 ,126.90279068 , 
309,신성리,36.87769302 ,126.89938065 , 
310,신성리,36.87779137 ,126.89890566 , 
311,대진아파트,36.88018974 ,126.91049236 , 
312,대진아파트,36.88031473 ,126.91128404 , 
313,공세리 동강,36.88084803 ,126.91695903 , 
314,공세리 동강,36.88089100 ,126.91712790 , 
315,신영1리 월안대,36.56699360 ,126.96751860 , 
316,신영1리 월안대,36.56710304 ,126.96772738 , 
317,유구1비득제,36.55966550 ,126.96173570 , 
318,유구1비득제,36.55960970 ,126.96187233 , 
319,유구1리 여드니입구,36.55899808 ,126.95775233 , 
320,유구1리 여드니입구,36.55889470 ,126.95775730 , 
321,유구1리 창말,36.55606510 ,126.95501700 , 
322,유구1리 창말,36.55597070 ,126.95509030 , 
323,석남1리,36.55539870 ,126.95242260 , 
325,유구시장,36.55375760 ,126.95116150 , 
326,유구터미널,36.55027630 ,126.95182300 , 
327,유구터미널,36.55027700 ,126.95197940 , 
328,덕암초등학교,36.62984807 ,126.97055070 , 
329,덕암초등학교,36.63020303 ,126.97076235 , 
330,추동리,36.62452638 ,126.96959232 , 
331,추동리,36.62462969 ,126.96970237 , 
332,추계1리 용목동,36.61630380 ,126.97245580 , 
333,추계1리 용목동,36.61622305 ,126.97267402 , 
334,추계1리 평촌,36.61426120 ,126.97227960 , 
335,추계1리 평촌,36.61435639 ,126.97247400 , 
336,신달주유소,36.60902230 ,126.96998390 , 
337,신달주유소,36.60881080 ,126.97005240 , 
338,신달1리,36.59904636 ,126.97143901 , 
339,신달1리,36.59889136 ,126.97160069 , 
340,신달2리 입석입구,36.59066305 ,126.97147068 , 
341,신달2리 입석입구,36.59077972 ,126.97159732 , 
342,신달2리 신대,36.58783140 ,126.97147570 , 
343,신달2리 신대,36.58779110 ,126.97157680 , 
344,신달2리 신영휴게소,36.58491971 ,126.97132737 , 
345,신달2리 신영휴게소,36.58578806 ,126.97147735 , 
346,신영1리 동부실,36.58060637 ,126.97149903 , 
347,신영1리 동부실,36.58062430 ,126.97158650 , 
348,신영1리 새말,36.57519990 ,126.97115630 , 
349,신영1리 새말,36.57513720 ,126.97124950 , 
350,동신초등학교,36.77906974 ,127.01594568 , 
351,시외버스터미널(스타벅스앞),36.78402230 ,127.01623600 , 
352,청솔아파트,36.74850639 ,127.01602902 , 
353,청솔아파트,36.74828304 ,127.01620735 , 
354,강당골 종점,36.71150802 ,127.01657068 , 
355,강당리 돌모랭이,36.71998410 ,127.01614630 , 
356,강당리 돌모랭이,36.71995300 ,127.01624730 , 
357,강당골 종점,36.71150230 ,127.01640660 , 
359,용화중학교,36.77401470 ,127.00814735 , 
360,행목리,36.76827480 ,126.94291130 , 
362,경희학성아파트,36.77136469 ,126.93598566 , 
363,오암1리 아랫오리실,36.72006150 ,126.92640680 , 
365,오암1리 윗오리실,36.71625070 ,126.93161390 , 
366,오암1리 아랫오리실,36.72019638 ,126.92633066 , 
368,석당리 마을회관,36.74826638 ,126.92301404 , 
370,석당교회,36.75072270 ,126.92480860 , 
371,석당교회,36.75072470 ,126.92467737 , 
372,석당리부모골,36.75955471 ,126.92653233 , 
373,석당리부모골,36.75788390 ,126.92648600 , 
375,진테크,36.76253490 ,126.92450190 , 
376,읍내리까치골,36.77332805 ,126.93142405 , 
377,순천향대학교,36.76999140 ,126.92797899 , 
378,읍내리까치골,36.77348636 ,126.93125232 , 
383,한국폴리텍대학앞,36.76610136 ,126.94900402 , 
384,창암2리 불거미,36.76458305 ,126.95503404 , 
386,창암2리,36.76061138 ,126.96489903 , 
388,창암2리 불거미,36.76458140 ,126.95617069 , 
389,한국폴리텍대학앞,36.76622636 ,126.94864067 , 
390,창암1리회관,36.76133310 ,126.94612660 , 
391,창암1리회관,36.76141530 ,126.94635010 , 
392,황산2리,36.75933968 ,126.95154238 , 
395,창암2리,36.76072090 ,126.96660260 , 
396,강장4거리,36.71178974 ,126.95590067 , 
397,강장2리,36.71443307 ,126.95605904 , 
398,수곡2리,36.72014303 ,126.95917400 , 
399,수곡1리입구,36.72573600 ,126.96686710 , 
400,수곡1리입구,36.72583304 ,126.96669900 , 
401,수곡2리,36.71978140 ,126.95889400 , 
402,강장2리,36.71445805 ,126.95597067 , 
403,강장4거리,36.71183010 ,126.95576640 , 
404,강장1리,36.70958471 ,126.96208569 , 
405,강장1리,36.70939170 ,126.96213530 , 
407,창암2리,36.76087410 ,126.96660150 , 
408,궁평리,36.70511440 ,126.99618900 , 
409,유곡1리마을회관,36.70488641 ,126.98538904 , 
410,거산초등학교,36.69146802 ,126.98909070 , 
411,법륜원앞,36.68813804 ,126.99058066 , 
412,각흘고개,36.65307970 ,126.98293899 , 
413,문금리,36.64227305 ,126.97693237 , 
414,문금2리적바위,36.63936690 ,126.99012610 , 
415,문금리,36.64204970 ,126.97698736 , 
416,거산2리 성골,36.66145805 ,126.98707069 , 
417,거산1리회관,36.66840970 ,126.98925403 , 
418,거산1리 거산골,36.67348306 ,126.98947732 , 
419,거산1용두원,36.67657302 ,126.99004234 , 
420,송학2리,36.68261805 ,126.99075066 , 
421,법륜원앞,36.68847304 ,126.99030568 , 
422,거산초등학교,36.69106302 ,126.98931901 , 
423,유곡2리입구,36.69581137 ,126.98878234 , 
424,유곡1리,36.70425304 ,126.98973570 , 
425,봉곡사,36.70059300 ,126.97213790 , 
426,봉곡사입구,36.70404150 ,126.97939140 , 
